,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 3 5425U,4,8,6,2.7,4.1,0,256,2,8,,3,15,95,,2,,1600,
on,AMD Ryzen™ 5 5560U,6,12,6,2.3,4,0,384,3,8,,3,15,105,,2,,1600,
on,AMD Ryzen™ 5 5500U,6,12,7,2.1,4,0,0,3,8,,3,15,105,,,,1800,
on,AMD Ryzen™ 3 5425C,4,8,6,2.7,4.1,0,256,2,8,,3,15,95,,2,,,
on,AMD Ryzen™ 3 5400U,4,8,6,2.6,4,0,0,2,8,,3,15,105,,,,1600,
on,AMD Ryzen™ 7 3800X,8,16,0,3.9,4.5,0,512,4,32,,4,105,95,3200,2,,,
on,AMD Ryzen™ 3 5300U,4,8,6,2.6,3.8,0,0,2,4,,3,15,105,,,,1500,
on,AMD Ryzen™ 7 3700X,8,16,0,3.6,4.4,0,512,4,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 7 5700G,8,16,8,3.8,4.6,0,0,4,16,,3,65,95,3200,2,,2000,
on,AMD Ryzen™ 7 5700GE,8,16,8,3.2,4.6,0,0,4,16,,3,35,95,3200,2,,2000,
on,AMD Ryzen™ 3 4100,4,8,0,3.8,4,0,256,2,4,,3,65,95,3200,2,,,
on,AMD Ryzen™ 3 5125C,2,4,3,3,3,0,128,1,8,,3,15,95,,2,,,
on,AMD Ryzen™ 5 3600X,6,12,0,3.8,4.4,0,384,3,32,,4,95,95,3200,2,,,
on,AMD Ryzen™ 5 5600G,6,12,7,3.9,4.4,0,0,3,16,,3,65,95,3200,2,,1900,
on,AMD Ryzen™ 5 5600GE,6,12,7,3.4,4.4,0,0,3,16,,3,35,95,3200,2,,1900,
on,AMD Ryzen™ 5 3600,6,12,0,3.6,4.2,0,384,3,32,,4,65,95,3200,2,,,
on,AMD Ryzen™ 3 5300G (OEM Only),4,8,6,4,4.2,0,0,2,8,,3,65,95,3200,2,,1700,
on,AMD Ryzen™ 3 5300GE (OEM Only),4,8,6,3.6,4.2,0,0,2,8,,3,35,95,3200,2,,1700,
on,AMD Ryzen™ 7 4700G (OEM Only),8,16,8,3.6,4.4,0,512,4,8,,3,65,95,3200,2,,2100,
on,AMD Ryzen™ 3 3300X,4,8,0,3.8,4.3,0,256,2,16,,4,65,,3200,,,,
on,AMD Ryzen™ 3 3100,4,8,0,3.6,3.9,0,256,2,16,,4,65,,3200,,,,
on,AMD Ryzen™ 5 4600G,6,12,7,3.7,4.2,0,384,3,8,,3,65,95,3200,2,,1900,
on,AMD Ryzen™ 3 4300G (OEM Only),4,8,6,3.8,4,0,256,2,4,,3,65,95,3200,2,,1700,
on,AMD Ryzen™ 5 3500 Processor (OEM Only),6,6,0,3.6,4.1,0,384,3,16,,4,65,95,3200,2,,,
on,AMD Ryzen™ 7 4700GE (OEM Only),8,16,8,3.1,4.3,0,512,4,8,,3,35,95,3200,2,,2000,
on,AMD Ryzen™ 5 4600GE (OEM Only),6,12,7,3.3,4.2,0,384,3,8,,3,35,95,3200,2,,1900,
