-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Athlon™ 320GE,2,4,3,3.5,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,AMD Athlon™ 300GE,2,4,3,3.4,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,AMD Ryzen™ 7 3750H,4,8,10,2.3,4,-1,384,2,4,-1,3,35,105,2400,2,-1,1400,-1
on,AMD Ryzen™ 5 3550H,4,8,8,2.1,3.7,-1,384,2,4,-1,3,35,105,2400,2,-1,1200,-1
on,AMD Athlon™ Silver 7120U,2,2,2,2.4,3.5,-1,256,1,2,-1,3,15,-1,-1,2,-1,1900,-1
on,AMD Ryzen™ 7 3700U,4,8,10,2.3,4,-1,384,2,4,-1,3,15,105,2400,2,-1,1400,-1
on,AMD Ryzen™ 3 3350U,4,4,6,2.1,3.5,-1,348,2,4,-1,3,15,105,2400,2,-1,1200,-1
on,AMD Ryzen™ 5 3500U,4,8,8,2.1,3.7,-1,384,2,4,-1,3,15,105,2400,2,-1,1200,-1
on,AMD Ryzen™ 7 3700C,4,8,10,2.3,4,-1,384,2,4,-1,-1,15,105,-1,-1,-1,1400,-1
on,AMD Ryzen™ 5 3450U,4,8,-1,2.1,3.5,-1,384,2,4,-1,3,15,105,2400,2,-1,1200,-1
on,AMD Ryzen™ 3 3300U,4,4,6,2.1,3.5,-1,384,2,4,-1,3,15,105,2400,2,-1,1200,-1
on,AMD Ryzen™ 5 3580U Microsoft Surface® Edition,4,8,9,2.1,3.7,-1,384,2,4,-1,3,15,105,2400,2,-1,1300,-1
on,AMD Ryzen™ 5 3500C,4,8,8,2.1,3.7,-1,384,2,4,-1,-1,15,105,-1,-1,-1,1200,-1
on,AMD Ryzen™ 3 3200U,2,4,3,2.6,3.5,-1,192,1,4,-1,3,15,105,2400,2,-1,1200,-1
on,AMD Athlon™ 300U,2,4,3,2.4,3.3,-1,193,1,4,-1,-1,15,105,2400,2,-1,1000,-1
on,AMD Athlon™ Gold 3150U,2,4,3,2.4,3.3,-1,192,1,4,-1,-1,15,95,2400,2,-1,1000,-1
on,AMD Ryzen™ 3 3250C,2,4,3,2.6,3.5,-1,192,1,4,-1,-1,15,105,-1,-1,-1,1200,-1
on,AMD Athlon™ Silver 3050U,2,2,2,2.3,3.2,-1,192,1,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Athlon™ Silver 3050e,2,4,3,1.4,2.8,-1,-1,1,4,-1,3,6,-1,2400,2,-1,1000,-1
on,AMD Athlon™ Gold 3150C,2,4,3,2.4,3.3,-1,192,1,4,-1,-1,15,95,-1,-1,-1,1100,-1
on,AMD Athlon™  Silver 3050C,2,2,2,2.3,3.2,-1,192,1,4,-1,-1,15,95,-1,-1,-1,1100,-1
on,AMD Athlon™ Gold 3150GE (OEM Only),4,4,3,3.3,3.8,-1,384,2,4,-1,3,35,95,2933,2,-1,1100,-1
on,AMD 3020e,2,2,3,1.2,2.6,-1,-1,1,4,-1,3,6,-1,2400,2,-1,1000,-1
on,AMD Athlon™ Gold 3150G (OEM Only),4,4,3,3.5,3.9,-1,384,2,4,-1,3,65,95,2933,2,-1,1100,-1
