0,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ 5 PRO 5650GE,6,12,7,3.4,4.4,0,0,3,16,0,3,35,95,3200,2,0,1900,0
on,AMD Ryzen™ 5 PRO 6650U,6,12,6,2.9,4.5,0,384,3,16,0,4,0,95,0,2,0,1900,0
on,AMD Ryzen™ 7 1700X,8,16,0,3.4,3.8,0,768,4,16,0,3,95,95,2667,2,0,0,0
on,AMD Ryzen™ 9 PRO 3900,12,24,0,3.1,4.3,0,768,6,64,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 7 PRO 3700,8,16,0,3.6,4.4,0,512,4,32,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 5 PRO 4655G,6,12,7,3.7,4.2,0,384,3,8,0,3,65,95,3200,2,0,1900,0
on,AMD Ryzen™ 7 1700 Processor,8,16,0,3,3.7,0,768,4,16,0,3,65,95,2667,2,0,0,0
on,AMD Ryzen™ 7 PRO 5875U,8,16,8,2,4.5,0,512,4,16,0,3,15,95,0,2,0,2000,0
on,AMD Ryzen™ 7 PRO 5845,8,16,0,3.4,4.6,0,512,4,32,0,4,65,95,3200,2,0,0,0
on,AMD Ryzen™ 7 PRO 5850U,8,16,8,1.9,4.4,0,0,4,16,0,3,15,105,3200/4266,0,0,2000,0
on,AMD Ryzen™ 5 PRO 5675U,6,12,7,2.3,4.3,0,384,3,16,0,3,15,95,0,2,0,1800,0
on,AMD Ryzen™ 5 PRO 5650U,6,12,7,2.3,4.2,0,0,3,16,0,3,15,105,3200/4266,0,0,1800,0
on,AMD Ryzen™ 7 PRO 5750G,8,16,8,3.8,4.6,0,0,4,16,0,3,65,95,3200,2,0,2000,0
